gene_name,17DPi_FPKM,18DPi_FPKM,AC_FPKM,D22_FPKM,NEW_FPKM,gene_id
Zranb2,7.437684869,8.251876586,7.898387844,7.198384543,9.108902511,ENSMUSG00000028180
Lrriq3,0.214424472,0.230696377,0.609366539,0.420721171,0.174234789,ENSMUSG00000028182
Dnase2b,0,0,0,0,0,ENSMUSG00000028185
Adgrl2,1.094366456,1.27398237,3.735940356,1.454740619,4.917632918,ENSMUSG00000028184
Rpf1,4.11155657,4.831871898,4.637687855,3.970936707,5.91776133,ENSMUSG00000028187
Uox,0,0.02604257,0,0,0,ENSMUSG00000028186
Ctbs,1.476377712,2.104746952,2.647912914,1.901035917,0.524878088,ENSMUSG00000028189
Spata1,0.205998781,1.137739023,0.399792105,0.332012017,0.404533042,ENSMUSG00000028188
Gm43450,0,0,0,0,0,ENSMUSG00000107279
Gm19261,0,0,0,0,0,ENSMUSG00000100529
Ptprh,0,0,0,0,0.61032924,ENSMUSG00000035429
Mageb4,0,0,0,0,0,ENSMUSG00000035427
Fam170a,0,0,0,0,0,ENSMUSG00000035420
Sap30bp,11.66694355,12.4314493,10.95693936,11.87792218,12.99714838,ENSMUSG00000020755
Recql5,2.270472028,2.618035183,2.993139859,2.872879912,2.262732091,ENSMUSG00000020752
Defb18,0,0,0,0,0,ENSMUSG00000073735
Itgb4,0.134907551,0.707628914,0.666275023,0.38111154,0.03425783,ENSMUSG00000020758
Ahnak,28.43394745,39.35353797,280.0344612,40.97369939,0.404907242,ENSMUSG00000069833
Nlrp1a,0,0,0,0,0,ENSMUSG00000069830
Atp6v0d2,0.774593174,0.864275632,0.059668841,0.904676437,0,ENSMUSG00000028238
Cdk10,10.76868645,10.6080217,16.42146551,10.3131432,9.577178051,ENSMUSG00000033862
Abcf1,19.44248097,16.38419042,16.70653985,18.28746076,22.74299792,ENSMUSG00000038762
Fgg,0,0,0,0,0,ENSMUSG00000033860
Sat2,1.146520044,1.999240583,10.89298663,2.576513387,3.252786767,ENSMUSG00000069835
Tgs1,7.277001496,7.751034369,6.984051474,6.497880318,10.69195801,ENSMUSG00000028233
Tmem68,3.778996774,2.87213395,3.176737362,3.465131756,7.644432223,ENSMUSG00000028232
Sdr16c5,0,0,0,0,0,ENSMUSG00000028236
Rps20,33.12804573,31.13225152,20.53491222,33.05546081,32.66975726,ENSMUSG00000028234
Olfr779,0,0,0,0,0,ENSMUSG00000044537
Ackr2,0,0,0,0.118772235,0,ENSMUSG00000044534
